"x","value"
1,-26.0890806091351
2,-26.0235224006562
3,-25.9579641921774
4,-25.8924059836986
5,-25.8268477752198
6,-25.761289566741
7,-25.6957313582622
8,-25.6301731497834
9,-25.5646149413045
10,-25.4990567328257
11,-25.4334985243469
12,-25.3679403158681
13,-25.3023821073893
14,-25.2368238989105
15,-25.1712656904317
16,-25.1057074819528
17,-25.040149273474
18,-24.9745910649952
19,-24.9090328565164
20,-24.8434746480376
21,-24.7779164395588
22,-24.71235823108
23,-24.6468000226011
24,-24.5812418141223
25,-24.5225169080485
26,-24.4659833420085
27,-24.4117250549413
28,-24.3598224468512
29,-24.310351708188
30,-24.2633859401116
31,-24.2189943428941
32,-24.1772411775065
33,-24.1381868088661
34,-24.1018869115176
35,-24.0683930948385
36,-24.0377532335657
37,-24.010011858654
38,-23.9852107150487
39,-23.9633875636301
40,-23.944577036901
41,-23.9288104088578
42,-23.9161152650327
43,-23.9065151418923
44,-23.9000293995769
45,-23.8966735706641
46,-23.8964584185906
47,-23.8993903335111
48,-23.9054714443596
49,-23.9144805714837
50,-23.9263475827525
51,-23.9409996619878
52,-23.9583612682101
53,-23.9783549757714
54,-24.0009000268243
55,-24.0259127685334
56,-24.0533053146199
57,-24.0829847714451
58,-24.1148527407423
59,-24.1488049857529
60,-24.1847306300449
61,-24.2225141678662
62,-24.262035543365
63,-24.3031717632179
64,-24.3457956657703
65,-24.3897747926862
66,-24.4349732971974
67,-24.4812523781343
68,-24.5284703114079
69,-24.5764842102972
70,-24.6251519599519
71,-24.6743320976895
72,-24.7238832688119
73,-24.7736684896099
74,-24.8235540855345
75,-24.8734105724042
76,-24.9231136146421
77,-24.9725428301231
78,-25.0215840785338
79,-25.0701316660246
80,-25.118086759177
81,-25.1653579665472
82,-25.2118599690458
83,-25.2575124967793
84,-25.3022399544052
85,-25.3459703816799
86,-25.3886369951679
87,-25.43017738218
88,-25.4705339411904
89,-25.5096536737356
90,-25.5474878117812
91,-25.5839921182253
92,-25.6191265879243
93,-25.65285753823
94,-25.6851581667286
95,-25.716008715924
96,-25.7453943330835
97,-25.7733032663148
98,-25.7997270388367
99,-25.8246597990309
100,-25.8480980037396
101,-25.8700411123929
102,-25.8904902212163
103,-25.9094490609514
104,-25.9269251962601
105,-25.9429303001699
106,-25.9574799224976
107,-25.970594834382
108,-25.9823001848075
109,-25.99262518879
110,-26.0016015251116
111,-26.0092649318083
112,-26.0156559598195
113,-26.0208187409813
114,-26.0248008159398
115,-26.0276532241582
116,-26.0294289564394
117,-26.0301808680742
118,-26.0299627517691
119,-26.0288297800323
120,-26.0268385205775
121,-26.0240458423197
122,-26.0205082122123
123,-26.0162808429291
124,-26.0114165635877
125,-26.005963281362
126,-25.9999618309256
127,-25.9934465250926
128,-25.9864461510105
129,-25.9789849887038
130,-25.9710841988699
131,-25.9627617320852
132,-25.9540334928404
133,-25.9449149038477
134,-25.9354191724842
135,-25.9255573402036
136,-25.9153404143765
137,-25.9047809231289
138,-25.8938921954357
139,-25.8826884413647
140,-25.8711827278738
141,-25.8593854032456
142,-25.8473028268263
143,-25.8349399880689
144,-25.8222997621047
145,-25.8093821578213
146,-25.7961856505025
147,-25.7827064156883
148,-25.7689393366128
149,-25.7548805903447
150,-25.7405272498895
151,-25.7258754773274
152,-25.710921204314
153,-25.6956601870366
154,-25.6800871190469
155,-25.664194751339
156,-25.647974637492
157,-25.6314182550341
158,-25.6145164606512
159,-25.5972588485241
160,-25.5796345399476
161,-25.5616318771905
162,-25.543238159653
163,-25.5244407527416
164,-25.5052267493976
165,-25.485582029559
166,-25.4654908650408
167,-25.4449354899528
168,-25.4238981871
169,-25.4023615398165
170,-25.3803099598375
171,-25.3577313885053
172,-25.3346180593926
173,-25.310967910263
174,-25.2867841582596
175,-25.2620748612863
176,-25.2368531587268
177,-25.2111362252068
178,-25.1849456044462
179,-25.1583050206474
180,-25.1312366800717
181,-25.1037648950583
182,-25.0759149192727
183,-25.0477096287711
184,-25.019169268042
185,-24.9903130115325
186,-24.9611586783189
187,-24.9317233162883
188,-24.9020234177071
189,-24.8720773029349
190,-24.8419032366193
191,-24.8115222502577
192,-24.7809584306024
193,-24.7502379354956
194,-24.7193895076967
195,-24.6884430224194
196,-24.6574268823693
197,-24.6263681211691
198,-24.5952941138585
199,-24.564231269124
200,-24.5332059523432
201,-24.5022446847771
202,-24.471375204149
203,-24.4406261178048
204,-24.4100264208605
205,-24.3796049632902
206,-24.3493911694864
207,-24.3194133903707
208,-24.2897001316286
209,-24.2602798815006
210,-24.2311792268279
211,-24.202424895334
212,-24.1740443052936
213,-24.1460664845036
214,-24.118521454367
215,-24.0914375305595
216,-24.0648417910077
217,-24.0387585725524
218,-24.013209062163
219,-23.988212132469
220,-23.9637840609162
221,-23.9399396407062
222,-23.9166907307237
223,-23.8940455663577
224,-23.8720089476855
225,-23.8505817651262
226,-23.829763942766
227,-23.8095565719921
228,-23.7899598900314
229,-23.7709748369901
230,-23.7526062374314
231,-23.7348606114518
232,-23.7177439008336
233,-23.7012612447791
234,-23.6854187481801
235,-23.670224007355
236,-23.6556829057123
237,-23.6418007684501
238,-23.6285801106083
239,-23.6160210439047
240,-23.6041210985286
241,-23.5928755466417
242,-23.5822784321779
243,-23.5723239560833
244,-23.5630067478687
245,-23.5543210858302
246,-23.5462613707204
247,-23.5388206120131
248,-23.5319902346385
